,Institute,Academic Program Name,Quota,Seat Type,Gender,Closing Rank,Closing Rank 2024,Closing Rank 2023,Closing Rank 2022,Closing Rank 2021,Closing Rank 2020,State
1344,Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,105,128,169,109,64,99,Uttar Pradesh
1346,Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,234,259,279,287,236,234,Uttar Pradesh
1347,Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),648,859,718,705,761,800,Uttar Pradesh
1349,Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,724,743,788,696,711,624,Uttar Pradesh
1350,Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),2378,2426,1859,2367,2374,2100,Uttar Pradesh
1352,Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,430,452,581,410,458,359,Uttar Pradesh
1353,Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1249,1152,1298,1001,1294,962,Uttar Pradesh
1354,Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,199,203,202,269,262,204,Uttar Pradesh
1355,Indian Institute of Technology Kanpur,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),491,518,567,460,475,585,Uttar Pradesh
1356,Indian Institute of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,6337,6008,6939,6535,6105,5875,Uttar Pradesh
1357,Indian Institute of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),13556,13464,11713,12794,13069,10645,Uttar Pradesh
1358,Indian Institute of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1232,1258,1408,1226,1166,1314,Uttar Pradesh
1359,Indian Institute of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2391,2558,2802,2687,2749,3151,Uttar Pradesh
1360,Indian Institute of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3047,3126,3292,3003,2952,3028,Uttar Pradesh
1361,Indian Institute of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),6716,7187,5781,6446,7342,6018,Uttar Pradesh
1362,Indian Institute of Technology Kanpur,"Materials Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1922,1853,2059,1881,1814,2031,Uttar Pradesh
1366,Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,1179,990,1060,1143,1045,910,Uttar Pradesh
1367,Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),4094,3445,3686,2856,2858,2757,Uttar Pradesh
1368,Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,OPEN (PwD),Gender-Neutral,236,100,67,118,79,125,Uttar Pradesh
1369,Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,251,209,205,212,220,217,Uttar Pradesh
1370,Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),476,607,446,504,396,644,Uttar Pradesh
1371,Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,670,673,684,681,693,599,Uttar Pradesh
1372,Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),2415,2234,1929,2314,2163,2021,Uttar Pradesh
1374,Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,505,372,609,646,612,484,Uttar Pradesh
1375,Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),962,1341,1128,1432,1497,1127,Uttar Pradesh
1376,Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,249,343,340,325,300,320,Uttar Pradesh
1377,Indian Institute of Technology Kanpur,"Mathematics and Scientific Computing (4 Years, Bachelor of Science)",AI,ST,Female-only (including Supernumerary),481,632,343,725,554,714,Uttar Pradesh
1378,Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,2771,2776,2940,3155,2823,2542,Uttar Pradesh
1379,Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),7379,8298,7223,8176,7140,6763,Uttar Pradesh
1382,Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,550,506,537,592,484,461,Uttar Pradesh
1383,Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1587,1686,1867,1412,1515,1500,Uttar Pradesh
1384,Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1358,1392,1479,1529,1275,1225,Uttar Pradesh
1385,Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4172,4202,4115,4501,4505,3916,Uttar Pradesh
1387,Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,798,834,970,914,804,784,Uttar Pradesh
1388,Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1982,2026,2020,1967,2285,1929,Uttar Pradesh
1389,Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,509,509,461,465,438,444,Uttar Pradesh
1390,Indian Institute of Technology Kanpur,"Mechanical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1168,776,777,838,1020,826,Uttar Pradesh
1391,Indian Institute of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,5691,5508,6153,6383,5358,4241,Uttar Pradesh
1392,Indian Institute of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),17413,16084,14020,12428,11160,12945,Uttar Pradesh
1393,Indian Institute of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,1637,1436,1650,1568,1314,1304,Uttar Pradesh
1394,Indian Institute of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),2929,2897,2596,3100,2979,2546,Uttar Pradesh
1395,Indian Institute of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,3829,3602,3875,3781,3387,3808,Uttar Pradesh
1396,Indian Institute of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),8002,7080,7013,7850,8222,8228,Uttar Pradesh
1397,Indian Institute of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,2182,2363,2380,2446,1424,2073,Uttar Pradesh
1398,Indian Institute of Technology Kanpur,"Physics (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),2853,3812,3270,2559,2577,2490,Uttar Pradesh
1401,Indian Institute of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,1270,1030,1090,1082,1280,,Uttar Pradesh
1402,Indian Institute of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),3966,3674,3907,3060,3102,,Uttar Pradesh
1403,Indian Institute of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,232,207,269,246,249,,Uttar Pradesh
1404,Indian Institute of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),693,800,727,591,1032,,Uttar Pradesh
1405,Indian Institute of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,704,714,799,833,763,,Uttar Pradesh
1406,Indian Institute of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),1871,1999,1761,2497,2434,,Uttar Pradesh
1407,Indian Institute of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,464,534,455,588,655,,Uttar Pradesh
1408,Indian Institute of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),1504,1035,993,1096,1756,,Uttar Pradesh
1409,Indian Institute of Technology Kanpur,"Statistics and Data Science (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,238,224,330,378,356,,Uttar Pradesh
1410,Indian Institute of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,3211,2815,3237,3881,3259,3678,Tamil Nadu
1411,Indian Institute of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),5512,6845,5990,8042,7031,7349,Tamil Nadu
1413,Indian Institute of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,645,837,733,862,610,785,Tamil Nadu
1414,Indian Institute of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1365,1232,1306,1504,1378,1173,Tamil Nadu
1415,Indian Institute of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1508,1655,1615,1666,1584,1690,Tamil Nadu
1416,Indian Institute of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),2517,3432,3695,4623,3529,3848,Tamil Nadu
1418,Indian Institute of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,830,900,1309,1248,961,1068,Tamil Nadu
1419,Indian Institute of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1421,1699,2316,1830,972,868,Tamil Nadu
1420,Indian Institute of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,540,478,571,500,558,625,Tamil Nadu
1421,Indian Institute of Technology Madras,"Aerospace Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),417,661,548,664,706,857,Tamil Nadu
1422,Indian Institute of Technology Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,2808,2984,3293,4819,3595,3816,Tamil Nadu
1423,Indian Institute of Technology Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),16,2184,6279,7705,8218,7856,Tamil Nadu
1424,Indian Institute of Technology Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,929,883,1070,966,527,855,Tamil Nadu
1425,Indian Institute of Technology Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Gender-Neutral,1472,1455,1685,1957,1706,1948,Tamil Nadu
1426,Indian Institute of Technology Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OBC-NCL,Female-only (including Supernumerary),3023,3953,3019,,,3448,Tamil Nadu
1427,Indian Institute of Technology Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,SC,Gender-Neutral,115,995,207,836,726,887,Tamil Nadu
1428,Indian Institute of Technology Madras,"Aerospace Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,ST,Gender-Neutral,536,503,703,,,629,Tamil Nadu
1429,Indian Institute of Technology Madras,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,306,419,,,,,Tamil Nadu
1430,Indian Institute of Technology Madras,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),1140,1379,,,,,Tamil Nadu
1431,Indian Institute of Technology Madras,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,30,43,,,,,Tamil Nadu
1432,Indian Institute of Technology Madras,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,65,104,,,,,Tamil Nadu
1433,Indian Institute of Technology Madras,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),145,298,,,,,Tamil Nadu
1434,Indian Institute of Technology Madras,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,165,207,,,,,Tamil Nadu
1435,Indian Institute of Technology Madras,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),611,503,,,,,Tamil Nadu
1436,Indian Institute of Technology Madras,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,16,30,,,,,Tamil Nadu
1437,Indian Institute of Technology Madras,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,113,198,,,,,Tamil Nadu
1438,Indian Institute of Technology Madras,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),359,237,,,,,Tamil Nadu
1439,Indian Institute of Technology Madras,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,44,83,,,,,Tamil Nadu
1440,Indian Institute of Technology Madras,"Artificial Intelligence and Data Analytics (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),112,218,,,,,Tamil Nadu
1441,Indian Institute of Technology Madras,"Biological Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,5261,5755,7967,,,,Tamil Nadu
1442,Indian Institute of Technology Madras,"Biological Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),8978,9871,8588,,,,Tamil Nadu
1444,Indian Institute of Technology Madras,"Biological Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1383,1384,1527,,,,Tamil Nadu
1445,Indian Institute of Technology Madras,"Biological Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),2344,2205,2420,,,,Tamil Nadu
1446,Indian Institute of Technology Madras,"Biological Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,3160,3364,3486,,,,Tamil Nadu
1447,Indian Institute of Technology Madras,"Biological Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),5286,6929,5686,,,,Tamil Nadu
1448,Indian Institute of Technology Madras,"Biological Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1832,2266,2327,,,,Tamil Nadu
1449,Indian Institute of Technology Madras,"Biological Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2186,2942,2855,,,,Tamil Nadu
1450,Indian Institute of Technology Madras,"Biological Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1076,1090,1078,,,,Tamil Nadu
1451,Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,10290,10682,11185,,,,Tamil Nadu
1452,Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),15727,14739,15528,,,,Tamil Nadu
1454,Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,1731,1743,2018,,,,Tamil Nadu
1455,Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),2875,2996,3393,,,,Tamil Nadu
1456,Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,4374,4682,5074,,,,Tamil Nadu
1457,Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),6299,7692,7441,,,,Tamil Nadu
1458,Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,2472,2778,3127,,,,Tamil Nadu
1459,Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),770,4048,3014,,,,Tamil Nadu
1460,Indian Institute of Technology Madras,"Biological Science (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,1264,1359,1335,,,,Tamil Nadu
1461,Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,4116,3972,4439,4677,4055,3636,Tamil Nadu
1462,Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),7546,9068,6597,8921,7696,8188,Tamil Nadu
1465,Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,767,784,841,838,701,795,Tamil Nadu
1466,Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1293,1843,1699,1608,2104,1161,Tamil Nadu
1467,Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1869,2042,1943,2096,2015,1847,Tamil Nadu
1468,Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),3820,3772,3535,4256,3817,3638,Tamil Nadu
1470,Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1189,1237,1346,1329,1297,1263,Tamil Nadu
1471,Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1596,2010,1726,2085,2191,1641,Tamil Nadu
1473,Indian Institute of Technology Madras,"Chemical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,620,617,582,520,597,654,Tamil Nadu
1475,Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,6112,5688,6132,6106,5740,5727,Tamil Nadu
1476,Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),11902,12586,9661,10183,11569,10560,Tamil Nadu
1479,Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,949,1111,1211,1004,859,1044,Tamil Nadu
1480,Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1642,1945,1845,1896,2649,1891,Tamil Nadu
1481,Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,2403,2592,2587,2440,2357,2180,Tamil Nadu
1482,Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4270,5366,4547,4932,4541,4075,Tamil Nadu
1483,Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,1445,1324,1491,1252,1233,1131,Tamil Nadu
1484,Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),2157,2445,1976,2249,1932,1660,Tamil Nadu
1485,Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,424,522,488,360,403,337,Tamil Nadu
1486,Indian Institute of Technology Madras,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1020,652,800,685,709,595,Tamil Nadu
1487,Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,1309,,,,,,Tamil Nadu
1488,Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),4564,,,,,,Tamil Nadu
1489,Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,87,,,,,,Tamil Nadu
1490,Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,293,,,,,,Tamil Nadu
1491,Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),761,,,,,,Tamil Nadu
1492,Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,741,,,,,,Tamil Nadu
1493,Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),1874,,,,,,Tamil Nadu
1494,Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,35,,,,,,Tamil Nadu
1495,Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,510,,,,,,Tamil Nadu
1496,Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1129,,,,,,Tamil Nadu
1497,Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,355,,,,,,Tamil Nadu
1498,Indian Institute of Technology Madras,"Computational Engineering and Mechanics (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),1237,,,,,,Tamil Nadu
1499,Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,171,159,148,175,163,158,Tamil Nadu
1500,Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),866,757,479,617,644,576,Tamil Nadu
1501,Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,9,4,4,6,6,3,Tamil Nadu
1502,Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,29,42,36,34,37,37,Tamil Nadu
1503,Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),91,129,85,60,93,164,Tamil Nadu
1504,Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,4,,5,,,3,Tamil Nadu
1505,Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,87,82,101,88,89,92,Tamil Nadu
1506,Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),561,344,293,207,303,402,Tamil Nadu
1507,Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,6,4,3,7,8,5,Tamil Nadu
1508,Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,43,72,54,53,58,54,Tamil Nadu
1509,Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),255,106,128,54,196,181,Tamil Nadu
1511,Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,28,29,15,24,24,23,Tamil Nadu
1512,Indian Institute of Technology Madras,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),63,68,28,87,110,14,Tamil Nadu
1513,Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,849,838,964,1028,1009,844,Tamil Nadu
1514,Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),2848,2677,2158,2184,2199,2046,Tamil Nadu
1515,Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,38,94,150,55,51,58,Tamil Nadu
1517,Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,198,178,231,272,221,202,Tamil Nadu
1518,Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),532,539,368,469,508,567,Tamil Nadu
1520,Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,396,407,492,547,474,427,Tamil Nadu
1521,Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),1450,1063,1047,1553,1438,1307,Tamil Nadu
1523,Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,278,378,316,367,399,304,Tamil Nadu
1524,Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),845,563,720,720,912,355,Tamil Nadu
1526,Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,153,149,146,198,167,185,Tamil Nadu
1527,Indian Institute of Technology Madras,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),301,336,302,402,418,213,Tamil Nadu
1528,Indian Institute of Technology Madras,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Gender-Neutral,3380,3656,4436,5374,3579,3790,Tamil Nadu
1529,Indian Institute of Technology Madras,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,OPEN,Female-only (including Supernumerary),7751,8939,9527,8618,10571,7607,Tamil Nadu
1531,Indian Institute of Technology Madras,"Engineering Design (5 Years, Bachelor and Master of Technology (Dual Degree))",AI,EWS,Gender-Neutral,838,1235,1020,1144,900,987,Tamil Nadu
