,Unnamed: 0,Institute,Academic Program Name,Quota,Seat Type,Gender,Closing Rank,Closing Rank 2024,Closing Rank 2023,Closing Rank 2022,Closing Rank 2021,Closing Rank 2020,State,mean_rank,median_rank,std_dev,min_rank,max_rank,lower_limit,upper_limit
29,29,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OPEN (PwD),Gender-Neutral,371,776.0,,399.0,779.0,,Madhya Pradesh,581.25,587.5,226.90141030853025,371.0,779.0,360.5985896914698,814.4014103085302
30,30,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OPEN (PwD),Female-only (including Supernumerary),604,555.0,1386.0,,,,Madhya Pradesh,848.3333333333334,604.0,466.277099301835,555.0,1386.0,137.722900698165,1070.277099301835
31,31,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,EWS,Gender-Neutral,1887,2370.0,2133.0,1776.0,2016.0,,Madhya Pradesh,2036.4,2016.0,229.76357413654583,1776.0,2370.0,1786.236425863454,2245.7635741365457
32,32,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,EWS,Female-only (including Supernumerary),3537,3809.0,4040.0,3491.0,3868.0,,Madhya Pradesh,3749.0,3809.0,231.27364743956454,3491.0,4040.0,3577.7263525604353,4040.2736474395647
33,33,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL,Gender-Neutral,5314,6241.0,4756.0,4363.0,5059.0,,Madhya Pradesh,5146.6,5059.0,707.1077004247655,4363.0,6241.0,4351.892299575235,5766.107700424765
34,34,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL,Female-only (including Supernumerary),10183,10475.0,9144.0,8419.0,10710.0,,Madhya Pradesh,9786.2,10183.0,970.4327385244172,8419.0,10710.0,9212.567261475582,11153.432738524418
35,35,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,OBC-NCL (PwD),Gender-Neutral,345,557.0,397.0,248.0,412.0,,Madhya Pradesh,391.8,397.0,112.46643943861653,248.0,557.0,284.53356056138347,509.46643943861653
36,36,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,SC,Gender-Neutral,3704,4293.0,2796.0,2948.0,3270.0,,Madhya Pradesh,3402.2,3270.0,607.4250571058128,2796.0,4293.0,2662.574942894187,3877.425057105813
37,37,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,SC,Female-only (including Supernumerary),6422,5371.0,4366.0,5119.0,4966.0,,Madhya Pradesh,5248.8,5119.0,752.9094899123002,4366.0,6422.0,4366.0905100877,5871.9094899123
38,38,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,ST,Gender-Neutral,1594,1981.0,1468.0,1313.0,1843.0,,Madhya Pradesh,1639.8,1594.0,272.08399438408725,1313.0,1981.0,1321.9160056159128,1866.0839943840872
39,39,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and M. Tech (IT) (5 Years, Integrated B. Tech. and M. Tech.)",AI,ST,Female-only (including Supernumerary),3499,2568.0,2358.0,1397.0,2565.0,,Madhya Pradesh,2477.4,2565.0,748.5100533726985,1397.0,3499.0,1816.4899466273014,3313.5100533726986
40,40,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OPEN,Gender-Neutral,15680,16856.0,15598.0,13731.0,16786.0,,Madhya Pradesh,15730.2,15680.0,1264.8059930281797,13731.0,16856.0,14415.19400697182,16944.80599302818
41,41,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OPEN,Female-only (including Supernumerary),24539,24511.0,22758.0,20093.0,25433.0,,Madhya Pradesh,23466.8,24511.0,2120.78009232452,20093.0,25433.0,22390.21990767548,26631.78009232452
42,42,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OPEN (PwD),Gender-Neutral,305,1098.0,,708.0,1240.0,,Madhya Pradesh,837.75,903.0,420.3937638294206,305.0,1240.0,482.6062361705794,1323.3937638294205
43,43,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,EWS,Gender-Neutral,2164,2790.0,2457.0,2328.0,2622.0,,Madhya Pradesh,2472.2,2457.0,244.667529517098,2164.0,2790.0,2212.332470482902,2701.667529517098
44,44,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,EWS,Female-only (including Supernumerary),3997,4010.0,4191.0,4639.0,4938.0,,Madhya Pradesh,4355.0,4191.0,416.7223296152967,3997.0,4938.0,3774.2776703847035,4607.722329615297
45,45,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OBC-NCL,Gender-Neutral,6146,7482.0,6259.0,5280.0,6730.0,,Madhya Pradesh,6379.4,6259.0,808.7489103547529,5280.0,7482.0,5450.251089645247,7067.748910354753
46,46,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OBC-NCL,Female-only (including Supernumerary),10675,10838.0,10195.0,11627.0,11701.0,,Madhya Pradesh,11007.2,10838.0,645.0125580172839,10195.0,11701.0,10192.987441982716,11483.012558017284
47,47,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,OBC-NCL (PwD),Female-only (including Supernumerary),1464,,,,,,Madhya Pradesh,1464.0,1464.0,,1464.0,1464.0,,
48,48,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,SC,Gender-Neutral,3851,4746.0,3522.0,3448.0,4013.0,,Madhya Pradesh,3916.0,3851.0,518.8434253221293,3448.0,4746.0,3332.1565746778706,4369.843425322129
49,49,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,SC,Female-only (including Supernumerary),6700,5701.0,6627.0,5318.0,6261.0,,Madhya Pradesh,6121.4,6261.0,598.3488113132673,5318.0,6700.0,5662.651188686733,6859.348811313267
50,50,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,ST,Gender-Neutral,2114,2526.0,1727.0,1626.0,1959.0,,Madhya Pradesh,1990.4,1959.0,355.4212993054862,1626.0,2526.0,1603.5787006945138,2314.421299305486
51,51,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Integrated B. Tech.(IT) and MBA (5 Years, Integrated B. Tech. and MBA)",AI,ST,Female-only (including Supernumerary),2473,2793.0,2529.0,1477.0,3424.0,,Madhya Pradesh,2539.2,2529.0,703.5696127605285,1477.0,3424.0,1825.4303872394717,3232.5696127605283
52,52,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,11710,11180.0,12085.0,,,,Madhya Pradesh,11658.333333333334,11710.0,454.70686528062595,11180.0,12085.0,11255.293134719373,12164.706865280627
53,53,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),19775,18094.0,15856.0,,,,Madhya Pradesh,17908.333333333332,18094.0,1966.0860442344158,15856.0,19775.0,16127.913955765584,20060.086044234416
54,54,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,629,719.0,408.0,,,,Madhya Pradesh,585.3333333333334,629.0,160.03228840872498,408.0,719.0,468.967711591275,789.032288408725
55,55,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,1684,1908.0,1894.0,,,,Madhya Pradesh,1828.6666666666667,1894.0,125.48041015765503,1684.0,1908.0,1768.5195898423449,2019.4804101576551
56,56,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),3133,3232.0,2916.0,,,,Madhya Pradesh,3093.6666666666665,3133.0,161.63023644520644,2916.0,3232.0,2971.3697635547937,3294.6302364452063
57,57,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,4696,4863.0,4416.0,,,,Madhya Pradesh,4658.333333333333,4696.0,225.86795552564186,4416.0,4863.0,4470.132044474358,4921.867955525642
58,58,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),10045,9429.0,7704.0,,,,Madhya Pradesh,9059.333333333334,9429.0,1213.4909696134264,7704.0,10045.0,8215.509030386573,10642.490969613427
59,59,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,631,,,,,,Madhya Pradesh,631.0,631.0,,631.0,631.0,,
60,60,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,3302,3476.0,2466.0,,,,Madhya Pradesh,3081.3333333333335,3302.0,539.9493803435034,2466.0,3476.0,2762.0506196564966,3841.9493803435034
61,61,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),3371,,6320.0,,,,Madhya Pradesh,4845.5,4845.5,2085.257897719129,3371.0,6320.0,2760.242102280871,6930.757897719129
62,62,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,1487,1494.0,1506.0,,,,Madhya Pradesh,1495.6666666666667,1494.0,9.60902353693305,1487.0,1506.0,1484.3909764630669,1503.6090235369331
63,63,Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,"Mathematics and Scientific Computing (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),2278,,,,,,Madhya Pradesh,2278.0,2278.0,,2278.0,2278.0,,
64,64,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,30212,27124.0,,,,,Rajasthan,28668.0,28668.0,2183.5457403040587,27124.0,30212.0,26484.45425969594,30851.54574030406
65,65,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),37654,34478.0,,,,,Rajasthan,36066.0,36066.0,2245.771137048475,34478.0,37654.0,33820.228862951524,38311.771137048476
66,66,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,1984,2185.0,,,,,Rajasthan,2084.5,2084.5,142.12846301849606,1984.0,2185.0,1942.371536981504,2226.628463018496
67,67,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,4763,4855.0,,,,,Rajasthan,4809.0,4809.0,65.05382386916237,4763.0,4855.0,4743.946176130838,4874.053823869162
68,68,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),6337,6523.0,,,,,Rajasthan,6430.0,6430.0,131.52186130069785,6337.0,6523.0,6298.478138699302,6561.521861300698
69,69,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,12083,11440.0,,,,,Rajasthan,11761.5,11761.5,454.66966030295004,11440.0,12083.0,11306.83033969705,12216.16966030295
70,70,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),17723,15390.0,,,,,Rajasthan,16556.5,16556.5,1649.6801205082154,15390.0,17723.0,14906.819879491784,18206.180120508216
71,71,"Indian Institute of Information Technology (IIIT)Kota, Rajasthan","Artificial Intelligence and Data Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,1138,1715.0,,,,,Rajasthan,1426.5,1426.5,408.0006127446379,1138.0,1715.0,1018.4993872553621,1834.500612744638
