,Unnamed: 0,Institute,Academic Program Name,Quota,Seat Type,Gender,Closing Rank,Closing Rank 2024,Closing Rank 2023,Closing Rank 2022,Closing Rank 2021,Closing Rank 2020,State,mean_rank,median_rank,std_dev,min_rank,max_rank,lower_limit,upper_limit
139,157,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,54,50.0,58.0,51.0,50.0,44.0,Maharashtra,51.166666666666664,50.5,4.665476038590989,44.0,58.0,45.83452396140901,55.16547603859099
140,158,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),331,274.0,227.0,136.0,166.0,338.0,Maharashtra,245.33333333333334,250.5,84.06108889769789,136.0,338.0,166.43891110230211,334.5610888976979
141,159,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,3,2.0,7.0,2.0,2.0,3.0,Maharashtra,3.1666666666666665,2.5,1.9407902170679516,2.0,7.0,0.5592097829320484,4.440790217067952
142,160,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,31,32.0,27.0,23.0,28.0,29.0,Maharashtra,28.333333333333332,28.5,3.204163957519444,23.0,32.0,25.295836042480556,31.704163957519444
143,161,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),270,71.0,113.0,107.0,107.0,107.0,Maharashtra,129.16666666666666,107.0,70.64394288731813,71.0,270.0,36.35605711268187,177.64394288731813
144,162,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,1,1.0,5.0,1.0,1.0,1.0,Maharashtra,1.6666666666666667,1.0,1.632993161855452,1.0,5.0,-0.6329931618554521,2.632993161855452
145,163,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,19,13.0,10.0,9.0,11.0,13.0,Maharashtra,12.5,12.0,3.5637059362410923,9.0,19.0,8.436294063758908,15.563705936241092
146,164,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),76,40.0,87.0,55.0,198.0,27.0,Maharashtra,80.5,65.5,61.679007774120365,27.0,198.0,3.8209922258796354,127.17900777412036
147,165,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST (PwD),Gender-Neutral,1,1.0,1.0,2.0,1.0,1.0,Maharashtra,1.1666666666666667,1.0,0.408248290463863,1.0,2.0,0.591751709536137,1.4082482904638631
148,166,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,2372,2408.0,2102.0,2107.0,2032.0,2257.0,Maharashtra,2213.0,2182.0,155.9230579484638,2032.0,2408.0,2026.0769420515362,2337.923057948464
149,167,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),4928,4408.0,5963.0,4590.0,4431.0,4704.0,Maharashtra,4837.333333333333,4647.0,583.7347571171916,4408.0,5963.0,4063.2652428828083,5230.734757117191
150,168,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,554,525.0,508.0,437.0,429.0,574.0,Maharashtra,504.5,516.5,59.94914511483879,429.0,574.0,456.5508548851612,576.4491451148388
